,ecg1,ecg2,emg1
121,0.40771691,0.412882724,0.063547806
122,0.518318576,0.512255869,0.045815879
123,0.444007588,0.428285104,0.099482969
124,0.395527704,0.397322167,0.037517408
125,0.401105286,0.402908853,0.094934233
126,0.440726548,0.455819293,0.130192004
127,0.437701465,0.422446288,0.035386863
128,0.550743267,0.708270432,0.032082543
129,0.4062174,0.41201214,0.088927758
130,0.483641658,0.499082605,0.082960969
131,0.520135584,0.486690796,0.080796838
132,0.416515141,0.412642525,0.09889427
133,0.412438311,0.414241604,0.054691298
134,0.419639915,0.425626138,0.033882585
135,0.505632882,0.486741201,0.070524051
136,0.419272448,0.39264273,0.10411025
137,0.462306818,0.352059111,0.041033867
138,0.432123383,0.449708746,0.111995029
139,0.540954931,0.542914544,0.105462713
140,0.475974414,0.446213991,0.091474624
141,0.40983795,0.413054593,0.10969263
142,0.409903276,0.414268626,0.050385162
143,0.424186093,0.450012611,0.081119582
144,0.476052483,0.439821267,0.078998403
145,0.362716361,0.46913829,0.120809662
146,0.213112303,0.40443379,0.082607514
147,0.328245255,0.464177514,0.054357578
148,0.437045683,0.507303157,0.112511467
149,0.333581308,0.403376449,0.079597688
150,0.308534138,0.392328979,0.047021676
151,0.317233596,0.394258818,0.114918324
152,0.371238896,0.466481441,0.058908387
153,0.35123136,0.394272748,0.058807398
154,0.51371042,0.586212922,0.059824496
155,0.34055518,0.398728025,0.056181401
156,0.42136241,0.492688049,0.070233228
157,0.452228632,0.446878984,0.045038505
158,0.351695389,0.385478131,0.092849595
159,0.351194057,0.387843434,0.051612208
160,0.361704198,0.405213143,0.077278155
161,0.446742471,0.446682064,0.034470162
162,0.360336279,0.351510146,0.082550961
163,0.343772345,0.35835637,0.040115759
164,0.392957831,0.437836323,0.130785183
165,0.50875849,0.522211113,0.052347003
166,0.433238661,0.421232698,0.107514315
167,0.38455785,0.402884464,0.058237631
168,0.392078283,0.409159828,0.118002155
169,0.421001812,0.466025527,0.108245009
170,0.453348937,0.429668785,0.096841931
171,0.363720394,0.678004296,0.05760627
172,0.375193063,0.416903904,0.045871944
173,0.455342247,0.490758584,0.110590082
174,0.54850899,0.51736251,0.097256736
175,0.434690228,0.421414625,0.072601361
176,0.410180733,0.415336486,0.05635561
177,0.414650156,0.420060536,0.070926414
178,0.465946293,0.493811525,0.063818449
179,0.442278507,0.423867857,0.115519648
180,0.530886416,0.699077025,0.092034844
181,0.413029426,0.422627458,0.037565397
182,0.480859827,0.508305574,0.106589492
183,0.52990141,0.489802892,0.086248352
184,0.413443926,0.408034394,0.027987971
185,0.400459727,0.404286904,0.120042276
186,0.402334501,0.408548213,0.072510937
187,0.479544818,0.48068684,0.082625339
188,0.403208775,0.39354316,0.087141546
189,0.700159046,0.390474942,0.061971063
190,0.40896499,0.410029159,0.078184699
191,0.508175067,0.506690939,0.09913161
192,0.459858221,0.428674288,0.083028175
193,0.388131631,0.383981043,0.050905557
194,0.38814681,0.385740376,0.124056827
195,0.408218066,0.416836648,0.091327766
196,0.439378583,0.417801864,0.063653237
197,0.358961338,0.443494865,0.070200071
198,0.377086122,0.388394971,0.066972189
199,0.44843252,0.45462963,0.043747019
200,0.501920801,0.483800694,0.065832736
201,0.394829168,0.39330597,0.050506624
202,0.390303435,0.391601425,0.089440181
203,0.39882367,0.400327527,0.044605133
204,0.481319908,0.472007672,0.103510927
205,0.39042254,0.386351478,0.05564342
206,0.32683736,0.332964661,0.066043973
207,0.436824592,0.435056578,0.098779813
208,0.543953131,0.529715548,0.070200121
209,0.440692852,0.435052325,0.076436098
210,0.412571113,0.411791951,0.043937711
211,0.418417613,0.417225582,0.091955867
212,0.478584462,0.474147891,0.122977999
213,0.437885064,0.433407151,0.043432294
214,0.747256644,0.720680278,0.05537724
215,0.425475534,0.423719828,0.111469565
216,0.516012872,0.507326974,0.067645626
217,0.509629696,0.494647592,0.082335477
218,0.418993523,0.416918459,0.097111694
219,0.416925299,0.415921262,0.084359292
220,0.424938208,0.424752322,0.137058121
221,0.496762357,0.483174872,0.053398868
222,0.395316024,0.386255199,0.05124272
223,0.332098925,0.344648376,0.080907416
224,0.439038095,0.44002173,0.079243355
225,0.539959291,0.526557897,0.093987318
226,0.43068976,0.424072445,0.08536766
227,0.396780834,0.39794952,0.056678365
228,0.397460754,0.398941703,0.130157244
229,0.451719259,0.452938356,0.091734169
230,0.409137333,0.406152418,0.074086681
231,0.702444915,0.6952242,0.066518725
232,0.396300989,0.399015729,0.049866105
233,0.48581036,0.482927267,0.068506968
234,0.469000209,0.458410634,0.066366323
235,0.383960998,0.386839468,0.047211884
236,0.383743471,0.387143123,0.090061474
237,0.397502269,0.400813428,0.113061668
238,0.449862035,0.444166373,0.117560392
239,0.339973329,0.348284469,0.055219103
240,0.347660864,0.360970937,0.109286898
241,0.434338044,0.434806105,0.082289784
242,0.522635462,0.508990142,0.081009745
243,0.409452104,0.406901608,0.126008306
244,0.393044514,0.395017809,0.057154291
245,0.399747011,0.401466805,0.076576023
246,0.475000243,0.473832681,0.052521756
247,0.415163379,0.413399369,0.092889447
248,0.73147229,0.620766308,0.095938514
249,0.407523674,0.414031075,0.048526046
250,0.505672737,0.509403508,0.094518917
251,0.501583353,0.478299677,0.066193757
252,0.409705501,0.410469357,0.088971592
253,0.409361071,0.412997468,0.100212096
254,0.417624527,0.425399935,0.090038123
255,0.505878388,0.487403268,0.087035998
256,0.418630569,0.395425461,0.065955218
